OBJECTID;Anlage;Adresse;Typ;Gruppe;Lon;Lat
95;Spielplatz Durigstraße;Durigstraße;Sportplatz;Spielplatz;11,424603427;47,2687839
96;Spielplatz Andechsstraße;Andechsstraße;Sportplatz;Spielplatz;11,421998531;47,268520322
97;Schießstand Vereinsheim Reichenau;Valiergasse 8a;Schießstandhalle;Sonstiges;11,428001846;47,268038714
98;Sporthalle VS Mariahilf;Dr.-Sigismund-Epp-Weg 3;Sporthalle;Sporthalle;11,38594704;47,268300121
99;Sporthalle VS Pradl-Leitgeb;Pradler Platz 8;Sporthalle;Sporthalle;11,407745537;47,267529065
100;Sporthalle VS Allerheiligen;Karl-Innerebner-Straße 70;Sporthalle;Sporthalle;11,356427164;47,267981402
101;Bocciaanlage Stadtpark Rapoldi;Pradler Platz;Bocciabahn;Sonstiges;11,406602302;47,267377049
102;Sportanlage Andechsstraße;Andechsstraße 70;Fußballplatz;Fußball/Football;11,421784652;47,266906886
103;Sportanlage Stadtpark Rapoldi;Pradler Platz;Streetballplatz;Funsport;11,406720887;47,267219706
104;Sportanlage Stadtpark Rapoldi;Pradler Platz;Basketballplatz;Funsport;11,406510334;47,267059099
